    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1           20            1      0.33333          1.1            0
           2           20            1     0.037037          0.9            0
           3           20            1            1          0.7            n
           4           20            1      0.33333          1.1            0
           5           20            1      0.11111          1.3            0
           6           20            1     0.037037          1.1            0
           7           20            1            1          1.3            1
           8           20            1      0.33333          0.7            1
           9           20            1     0.037037          1.1            1
          10           20            1            1          0.9            1
          11           15            1            1          1.3            1
          12           15            1            1          0.7            1
          13           15            1            1          0.7            1
          14           15            1            1          0.7            1
          15           15            1      0.11111          1.1            n
          16           15            1      0.11111          0.7            0
          17           15            1      0.33333          0.7            1
          18           15            1            1          0.9            1
          19           15            1     0.037037          1.1            n
          20           15            1     0.037037          0.7            n
          21           20            3      0.11111          1.1            1
          22           20            3            1          1.1            n
          23           20            3            1          0.7            1
          24           20            3            1          0.7            1
          25           20            3      0.33333          0.7            n
          26           20            3     0.037037          0.9            1
          27           20            3      0.33333          1.1            1
          28           20            3     0.037037          0.9            n
          29           20            3      0.33333          0.7            1
          30           20            3      0.33333          0.9            1
          31           10            3            1          0.9            1
          32           10            3      0.33333          0.9            0
          33           10            3            1          0.7            0
          34           10            3      0.33333          1.1            0
          35           10            3      0.11111          0.9            0
          36           10            3      0.33333          0.9            n
          37           10            3     0.037037          0.9            0
          38           10            3      0.33333          1.3            1
          39           10            3      0.33333          1.3            n
          40           10            3      0.11111          0.7            1
          41           10            2            1          0.9            1
          42           10            2      0.33333          1.1            1
          43           10            2            1          1.1            1
          44           10            2            1          0.7            1
          45           10            2      0.33333          1.3            1
          46           10            2      0.33333          0.7            1
          47           10            2      0.33333          1.1            1
          48           10            2            1          1.1            1
          49           10            2      0.11111          0.9            0
          50           10            2      0.11111          0.7            0
          51           15            3            1          0.7            1
          52           15            3            1          1.3            1
          53           15            3      0.11111          0.9            1
          54           15            3            1          1.1            n
          55           15            3            1          1.3            1
          56           15            3      0.11111          1.3            n
          57           15            3     0.037037          1.3            1
          58           15            3     0.037037          0.7            1
          59           15            3            1          0.9            0
          60           15            3            1          1.1            1
          61            5            2      0.11111          1.1            n
          62            5            2      0.33333          0.7            1
          63            5            2     0.037037          1.1            1
          64            5            2      0.11111          0.9            1
          65            5            2     0.037037          0.7            1
          66            5            2            1          1.1            0
          67            5            2      0.11111          1.3            1
          68            5            2     0.037037          1.1            n
          69            5            2      0.33333          1.3            1
          70            5            2      0.11111          0.9            n
          71           10            1      0.11111          1.3            n
          72           10            1     0.037037          0.9            0
          73           10            1            1          0.9            n
          74           10            1     0.037037          1.3            0
          75           10            1     0.037037          0.7            n
          76           10            1      0.11111          0.7            0
          77           10            1     0.037037          1.3            0
          78           10            1     0.037037          1.3            1
          79           10            1      0.11111          0.9            1
          80           10            1     0.037037          0.9            0
          81            5            3     0.037037          1.1            n
          82            5            3     0.037037          1.3            1
          83            5            3      0.11111          1.1            0
          84            5            3      0.33333          1.3            n
          85            5            3      0.33333          0.9            n
          86            5            3      0.11111          1.1            1
          87            5            3     0.037037          1.1            1
          88            5            3            1          1.3            1
          89            5            3      0.11111          1.1            0
          90            5            3      0.11111          0.7            1
          91           15            2     0.037037          1.3            n
          92           15            2      0.11111          0.7            1
          93           15            2            1          0.9            1
          94           15            2      0.11111          0.7            1
          95           15            2     0.037037          0.7            0
          96           15            2      0.11111          1.3            1
          97           15            2      0.33333          1.1            1
          98           15            2      0.11111          1.1            1
          99           15            2     0.037037          0.9            n
         100           15            2            1          0.7            1
         101            5            1     0.037037          1.1            1
         102            5            1      0.33333          0.9            1
         103            5            1      0.11111          1.3            1
         104            5            1            1          0.7            0
         105            5            1            1          0.9            1
         106            5            1      0.33333          0.7            0
         107            5            1            1          1.1            1
         108            5            1      0.33333          1.3            0
         109            5            1     0.037037          1.3            1
         110            5            1      0.33333          1.1            0
         111           20            2            1          0.9            1
         112           20            2      0.11111          1.1            1
         113           20            2      0.11111          0.7            1
         114           20            2      0.11111          0.9            0
         115           20            2            1          0.9            1
         116           20            2      0.11111          1.3            1
         117           20            2            1          1.1            1
         118           20            2      0.11111          0.9            0
         119           20            2      0.33333          1.3            1
         120           20            2     0.037037          0.7            0
