    Trial_No     F_Thresh   Pain_Sound          Amp        Pitch       Choice
           1           20            3      0.11111          1.3            n
           2           20            3      0.33333          0.9            n
           3           20            3      0.11111          1.1            1
           4           20            3            1          1.3            n
           5           20            3      0.33333          1.1            1
           6           20            3      0.33333          1.1            1
           7           20            3            1          1.3            0
           8           20            3     0.037037          0.7            0
           9           20            3     0.037037          1.3            0
          10           20            3      0.11111          0.9            1
          11           10            3      0.11111          1.1            0
          12           10            3      0.33333          1.1            0
          13           10            3      0.33333          1.1            1
          14           10            3            1          0.7            0
          15           10            3      0.11111          1.1            1
          16           10            3      0.11111          1.1            0
          17           10            3            1          1.1            0
          18           10            3            1          0.9            0
          19           10            3      0.33333          1.3            0
          20           10            3            1          0.7            0
          21           10            2     0.037037          0.9            0
          22           10            2            1          1.1            0
          23           10            2            1          1.1            0
          24           10            2     0.037037          0.7            0
          25           10            2      0.33333          0.7            0
          26           10            2            1          1.1            0
          27           10            2      0.11111          1.1            n
          28           10            2     0.037037          1.1            0
          29           10            2            1          1.1            0
          30           10            2            1          1.3            n
          31            5            1      0.11111          1.1            0
          32            5            1            1          0.9            0
          33            5            1      0.33333          0.9            n
          34            5            1            1          0.7            0
          35            5            1      0.33333          1.3            n
          36            5            1      0.33333          1.1            1
          37            5            1      0.11111          0.7            1
          38            5            1     0.037037          0.7            1
          39            5            1      0.33333          1.3            1
          40            5            1      0.11111          1.3            1
          41           15            2      0.33333          0.7            0
          42           15            2      0.11111          0.7            n
          43           15            2     0.037037          1.1            1
          44           15            2            1          1.3            0
          45           15            2            1          0.7            0
          46           15            2      0.33333          0.7            0
          47           15            2      0.33333          1.3            1
          48           15            2     0.037037          0.7            1
          49           15            2            1          1.3            1
          50           15            2      0.33333          1.3            1
          51           15            2      0.33333          0.7            1
          52           15            2            1          1.3            0
          53           15            2      0.33333          1.3            1
          54           15            2      0.11111          0.7            1
          55           15            2      0.33333          1.3            0
          56           15            2     0.037037          0.7            1
          57           15            2     0.037037          0.9            1
          58           15            2      0.11111          1.3            1
          59           15            2      0.11111          1.1            1
          60           15            2     0.037037          0.9            1
          61            5            1      0.11111          0.9            1
          62            5            1      0.11111          1.1            n
          63            5            1      0.33333          0.9            1
          64            5            1            1          1.1            1
          65            5            1      0.33333          1.3            1
          66            5            1            1          1.3            0
          67            5            1      0.11111          1.3            n
          68            5            1            1          1.3            0
          69            5            1      0.11111          1.1            1
          70            5            1     0.037037          0.7            1
          71           20            2            1          0.9            0
          72           20            2      0.11111          1.1            n
          73           20            2            1          1.1            0
          74           20            2      0.11111          0.7            n
          75           20            2      0.33333          1.1            n
          76           20            2            1          0.9            0
          77           20            2            1          0.9            0
          78           20            2     0.037037          0.9            1
          79           20            2      0.33333          0.7            1
          80           20            2      0.11111          1.1            1
          81           10            1      0.11111          0.7            1
          82           10            1      0.33333          1.1            n
          83           10            1     0.037037          1.1            1
          84           10            1     0.037037          0.7            1
          85           10            1            1          0.7            0
          86           10            1      0.33333          0.7            1
          87           10            1            1          0.9            0
          88           10            1     0.037037          0.7            1
          89           10            1            1          1.1            n
          90           10            1     0.037037          0.7            1
          91           20            3     0.037037          1.1            n
          92           20            3      0.11111          0.9            1
          93           20            3      0.11111          0.9            1
          94           20            3      0.33333          0.9            n
          95           20            3      0.11111          1.3            1
          96           20            3     0.037037          0.9            1
          97           20            3      0.33333          0.7            1
          98           20            3      0.33333          0.9            n
          99           20            3     0.037037          0.7            1
         100           20            3     0.037037          0.9            n
         101            5            1     0.037037          1.1            1
         102            5            1      0.33333          0.9            n
         103            5            1      0.33333          1.3            0
         104            5            1            1          1.1            n
         105            5            1      0.33333          0.9            0
         106            5            1            1          0.9            0
         107            5            1     0.037037          1.1            1
         108            5            1      0.33333          0.7            0
         109            5            1     0.037037          1.1            1
         110            5            1            1          0.7            0
         111           15            3      0.11111          1.3            n
         112           15            3      0.11111          1.3            1
         113           15            3      0.33333          1.3            0
         114           15            3      0.33333          0.9            0
         115           15            3      0.33333          1.3            0
         116           15            3     0.037037          0.7            0
         117           15            3      0.33333          1.1            0
         118           15            3      0.33333          1.1            1
         119           15            3      0.33333          0.9            0
         120           15            3      0.11111          0.7            1
